ID,OrgId,Title,URL,Categories,Element tag,Author,Organizationen,Publication Date
0060001,6,A global look at cardiac risk factors,http://www.washingtonpost.com/wp-srv/special/health/weight-of-the-world-bmi/,灾害,timeline,,The Washington Post,1/1/2001
0060002,6,The Depth of the Problem,http://apps.washingtonpost.com/g/page/world/the-depth-of-the-problem/931/,灾害,illustration,,The Washington Post,3/1/2013
0060003,6,After the storm,https://www.washingtonpost.com/posttv/afterthestorm/#/something-was-different,灾害,"interactive, map",,The Washington Post,5/15/2015
0060004,6,‘A new kind of terrorism’ in Israel,https://www.washingtonpost.com/graphics/world/israel-palestine-deaths/#item65date10232015,政治,"interactive, timeline",,The Washington Post,29/1/2016
0060005,6,2015 police shootings investigation,https://www.washingtonpost.com/graphics/national/police-shootings-year-end/,政治,"interactive, map",,The Washington Post,26/12/2015
0060006,6,Mapping the census,http://www.washingtonpost.com/wp-srv/special/nation/census/2010/,政治,map,,The Washington Post,7/11/2001
0060007,6,"State of the Union: Obama's greatest hits",https://www.washingtonpost.com/graphics/politics/2016-sotu/speech/,政治,illustration,,The Washington Post,13/1/2016
0060008,6,How the growing web of conflict in Syria became a global problem,https://www.washingtonpost.com/graphics/world/explaining-the-syrian-conflict/,政治,"map, illustration",,The Washington Post,11/3/2015
0060009,6,History through the president’s words,https://www.washingtonpost.com/graphics/politics/2016-sotu/language/,政治,interactive,,The Washington Post,1/12/2016
0060010,6,What happens to your body during an ultramarathon,https://www.washingtonpost.com/graphics/health/ultramarathon/,生活,illustration,,The Washington Post,11/9/2015
0060011,6,Will this storm top Snowmageddon?,https://www.washingtonpost.com/graphics/local/2016-snow/how-much-has-it-snowed/,生活,illustration,,The Washington Post,1/22/2016
0070001,7,Bloomberg Billionaires,http://www.bloomberg.com/billionaires/2013-11-08/cya,经济,"real-time, interactive",,Bloomberg,1/1/2014
0070002,7,"What's really warming the world",http://www.bloomberg.com/graphics/2015-whats-warming-the-world/,环境,"line, interactive","Eric Roston, Blacki Migliozzi",Bloomberg,6/24/2015
